id,node_id,prediction
27284990,49,0
27104990,44,0
74001908,16,0
63649022,28,1
63539593,23,1
52100213,5,1
74006110,16,0
74003579,12,0
27203790,55,0
52108347,55,0
27101120,16,0
52101567,31,0
16231705,43,0
27123340,30,0
52109122,21,1
16231351,55,0
27229620,5,1
63936678,28,1
74005061,16,0
74004117,16,0
27147040,5,1
27160070,21,1
52100230,49,0
16218838,54,0
27138380,55,0
38613019,49,0
63049908,21,1
52103625,43,0
27118100,55,0
74005479,16,0
49001081,49,0
27226970,31,0
49168624,55,0
52102441,28,1
63857124,21,1
74006116,12,0
52108632,55,0
16227983,49,0
74000776,16,0
49002902,49,0
52104252,43,0
74001367,12,0
52109757,55,0
63610921,31,0
16240061,55,0
49002011,44,0
27111480,49,0
27149070,16,0
74002451,30,0
49178411,23,1
27283660,43,0
27157340,5,1
27111620,55,0
27216010,16,0
52100350,21,1
52106011,49,0
16224813,31,0
74006179,12,0
74002788,55,0
27105280,31,0
52102219,28,1
27230260,9,0
27299910,49,0
52103917,15,0
16222678,55,0
27131870,49,0
63811537,28,1
27243140,12,0
49999970,49,0
52107926,43,0
52108299,43,0
74000783,12,0
49222668,55,0
52103808,49,0
27105620,55,0
16230287,43,0
16230272,31,0
16232027,55,0
49222366,55,0
49003085,43,0
52106603,55,0
16232749,31,0
27133140,12,0
16230150,49,0
16215176,43,0
63731744,16,0
63370056,49,0
27270720,43,0
16234407,31,0
52108758,23,1
52105934,49,0
27298700,37,0
27283860,43,0
16227519,49,0
49001820,21,1
49176736,55,0
63305884,21,1
63998909,28,1
27145140,15,0
52105964,43,0
74002845,12,0
16219492,49,0
16230246,49,0
16221887,43,0
52106769,15,0
63333010,21,1
63422728,24,0
49173858,23,1
52102719,31,0
52108450,43,0
27288750,43,0
52105260,16,0
16240430,31,0
52108868,55,0
63493724,31,0
27102790,30,0
74001810,5,1
49171536,55,0
74006043,12,0
74002314,43,0
27154610,55,0
27216450,55,0
27257920,16,0
52107248,28,1
16231638,55,0
49002100,12,0
27241630,27,0
52103594,16,0
27219260,55,0
27123660,55,0
52108478,49,0
74004704,16,0
16231045,44,0
27163980,30,0
16223298,43,0
27158600,12,0
74003635,12,0
63668356,31,0
27149110,20,0
74003440,12,0
63211507,21,1
74003432,12,0
52105561,43,0
27161850,55,0
74002895,12,0
16240274,31,0
52107596,49,0
16222039,49,0
52106111,24,0
74004639,12,0
16234410,55,0
16223250,49,0
27100760,43,0
49003542,49,0
27155150,55,0
16233123,49,0
27229530,55,0
16229049,49,0
27245260,43,0
49161764,43,0
63456780,49,0
74004303,16,0
52109824,31,0
16222667,49,0
52107189,44,0
27162870,55,0
27133680,16,0
63507541,21,1
27204200,31,0
49001569,23,1
74000551,16,0
16240028,49,0
74005203,16,0
27160630,55,0
49001285,30,0
63993315,21,1
16222085,43,0
16226009,55,0
74003070,16,0
49000851,55,0
27258340,55,0
74006239,12,0
16232394,43,0
49166847,55,0
27301620,12,0
52107723,31,0
49001161,49,0
52104271,31,0
49169694,55,0
49195488,31,0
49001056,55,0
63435030,43,0
27284040,43,0
27271270,55,0
52109336,55,0
74003108,12,0
52108769,55,0
27203160,21,1
49165145,55,0
74006271,15,0
74001572,12,0
27284480,23,1
74001839,12,0
16224428,28,1
74000499,12,0
74003417,16,0
16224789,49,0
74001477,16,0
16228245,30,0
63564554,28,1
16228008,31,0
49002982,49,0
74003969,12,0
52108704,55,0
27105730,49,0
16223076,49,0
49222782,49,0
27275720,31,0
16222653,49,0
63808649,27,0
52100271,12,0
27151830,43,0
27256960,55,0
49176938,49,0
27227570,44,0
63812199,23,1
74000798,12,0
16231788,49,0
63701272,21,1
16226417,43,0
16224083,55,0
38408612,55,0
16231459,30,0
74001725,15,0
49197260,23,1
52101587,55,0
27123980,12,0
27241190,12,0
52103158,55,0
49999897,27,0
27102170,55,0
74005848,16,0
74002726,55,0
27114080,31,0
63299283,55,0
16227134,55,0
16220536,31,0
27105320,23,1
16225539,55,0
74005441,12,0
16231255,23,1
74000248,12,0
16240405,49,0
16225889,31,0
49999699,55,0
16230708,43,0
74001452,16,0
63369557,21,1
16221818,43,0
27286590,12,0
74005409,16,0
52105165,31,0
16217631,43,0
27269530,43,0
27156060,28,1
49167231,49,0
49181994,55,0
27213690,55,0
38383498,24,0
49000578,55,0
27112470,55,0
27257850,5,1
63851449,31,0
63323673,28,1
38071993,55,0
27297630,49,0
74000825,16,0
49000264,55,0
27144950,16,0
27243970,12,0
27116470,49,0
74005969,12,0
52109202,31,0
27213830,49,0
38075291,55,0
49222391,49,0
63926025,28,1
16217520,23,1
49195170,43,0
16240032,44,0
74005000,5,1
27110220,21,1
49199299,55,0
74005153,16,0
74001143,16,0
74006312,12,0
63313500,28,1
74004908,15,0
74005333,15,0
52108443,49,0
49216851,49,0
49222535,55,0
38684413,43,0
16227997,43,0
27110180,23,1
63527445,21,1
27125380,49,0
74005397,12,0
16219222,55,0
27155290,49,0
27256280,23,1
52104799,55,0
27126320,9,0
16224559,55,0
74002593,55,0
74003620,16,0
38760055,31,0
27117950,49,0
27138810,5,1
27109420,31,0
16218597,55,0
27122220,55,0
63820626,21,1
74001268,12,0
16227500,30,0
63563793,23,1
74003862,15,0
49177834,49,0
27153020,43,0
63069124,21,1
27148930,12,0
27244730,43,0
16231703,55,0
27244880,37,0
16240018,55,0
63577439,21,1
49161881,43,0
27259900,43,0
74004213,12,0
52107604,31,0
63758943,30,0
49222499,49,0
49002965,27,0
38077804,55,0
27159640,16,0
49002172,55,0
74001689,12,0
74003692,12,0
74006323,12,0
38984299,55,0
74002614,23,1
74001567,15,0
16240367,21,1
74004495,12,0
52108076,16,0
27126700,9,0
74005642,12,0
74002645,49,0
49163021,55,0
49005320,55,0
74002638,43,0
52109032,43,0
27255230,49,0
27135620,12,0
27231710,21,1
27156800,16,0
74005791,16,0
16240486,55,0
16231147,55,0
27287470,44,0
49001703,55,0
27126760,16,0
52104546,37,0
16218436,55,0
16228101,55,0
16218412,55,0
49199721,21,1
74000681,12,0
63753812,21,1
16232018,55,0
52107923,49,0
63063732,21,1
16226632,55,0
49003993,55,0
63516664,28,1
16234369,55,0
52104342,21,1
52108722,49,0
16225937,55,0
16240174,49,0
49197253,49,0
63752634,55,0
74001958,16,0
27301080,49,0
49197000,30,0
74006071,12,0
27256440,55,0
49999743,43,0
52104632,43,0
27156090,43,0
49001263,49,0
52101501,21,1
52100514,43,0
38978276,55,0
49191392,55,0
27230220,28,1
52106224,49,0
74001942,12,0
27286050,12,0
27201060,43,0
52106369,55,0
16218678,55,0
63311881,28,1
63684115,43,0
16227824,55,0
52101720,55,0
49162032,28,1
16233923,49,0
52108001,49,0
16230687,31,0
63413444,23,1
52102169,49,0
52106380,43,0
16240354,43,0
49999836,55,0
27111810,21,1
49163684,55,0
52107134,49,0
49001335,49,0
74001385,12,0
49001276,43,0
16225328,55,0
63308652,27,0
52100814,31,0
52107446,31,0
63977117,21,1
27147740,49,0
49003392,49,0
49180136,49,0
27119450,43,0
74002567,55,0
27228520,49,0
27104270,50,0
63796298,49,0
74006103,15,0
49198059,55,0
27125820,16,0
49215895,55,0
16227209,49,0
16222156,49,0
27257200,55,0
74005615,16,0
16225632,49,0
27301790,30,0
52100681,9,0
49000232,49,0
63888068,27,0
16230885,31,0
27204190,12,0
49162772,55,0
16228182,49,0
38836861,55,0
38316661,55,0
27136370,16,0
27113910,55,0
38385084,49,0
52103139,43,0
27106530,49,0
38931921,49,0
49180384,23,1
27230670,30,0
27160450,55,0
63676799,21,1
27135950,16,0
16218877,23,1
74003851,16,0
52101173,55,0
27200470,49,0
27141640,5,1
63639172,49,0
27156770,55,0
52107989,12,0
38430069,21,1
38008417,55,0
27110010,43,0
52104010,55,0
27137470,12,0
52100027,55,0
63984494,28,1
74004762,16,0
52108564,49,0
52103707,49,0
63039136,21,1
74002419,21,1
27149760,15,0
74000117,16,0
16225060,49,0
74005320,16,0
74000435,12,0
27156740,16,0
27141550,5,1
16233113,43,0
27164100,55,0
16216793,55,0
74001592,16,0
74005492,16,0
63036188,21,1
16222276,49,0
27149360,12,0
49161809,43,0
52109620,40,1
16222785,55,0
49199298,55,0
52104699,55,0
16227783,55,0
16222808,49,0
27104490,55,0
16226356,49,0
74003208,16,0
52101029,30,0
49186549,55,0
52109437,31,0
27153140,12,0
16224917,28,1
49222743,55,0
74003697,12,0
52106435,49,0
16218690,43,0
27218730,12,0
52105626,49,0
52101453,49,0
16221850,43,0
27285340,55,0
27107120,55,0
74006017,12,0
27110610,55,0
49222483,55,0
74004349,12,0
49000472,55,0
52108416,5,1
52100367,49,0
49000062,43,0
27111990,49,0
16240023,43,0
16230635,55,0
27230970,12,0
16231950,43,0
38962135,24,0
16240377,55,0
63984904,21,1
49003454,23,1
27156960,8,1
74002204,24,0
27153460,55,0
16219846,55,0
74006401,12,0
16216035,49,0
16240123,28,1
16226444,55,0
27142310,16,0
27287340,43,0
63629722,28,1
63809222,55,0
52108305,23,1
16240247,31,0
27134810,12,0
27256870,55,0
52105265,43,0
49003600,43,0
27241510,49,0
74003630,12,0
27111010,16,0
16223493,30,0
38349815,21,1
27104360,12,0
52109578,43,0
16240104,23,1
52107739,5,1
16233708,49,0
49195361,49,0
49183624,49,0
74001713,12,0
27269870,31,0
63809380,28,1
74005905,16,0
27109480,31,0
74005958,16,0
27106910,31,0
52104001,21,1
27151640,16,0
63068079,49,0
49179395,43,0
63125009,30,0
27120920,55,0
27135650,21,1
49003625,49,0
16221450,49,0
16227711,55,0
63219056,21,1
49000730,30,0
49183949,55,0
49003662,55,0
52105262,49,0
27230450,55,0
38383502,55,0
74005126,16,0
63683033,43,0
74005560,15,0
74003561,16,0
63751889,21,1
27283970,12,0
27151260,16,0
52100883,5,1
27122510,43,0
74004906,15,0
27129490,16,0
52103118,49,0
49185734,43,0
49005291,55,0
52103329,23,1
74001488,16,0
16218653,55,0
52104414,43,0
38254325,55,0
49167167,49,0
52100008,31,0
27127480,49,0
74005158,31,0
63169351,55,0
52105536,43,0
27272840,5,1
52101131,31,0
49193894,49,0
74004179,12,0
